titulo,tipo_principal,tipo_detalhado,gravidade,validado,tipo_corrigido,observacoes
Assaltantes renderam funcionária e fugiram de moto após assalto a joalheria,Roubo/Assalto,Roubo/assalto com confronto,alta,NA,Roubo/Assalto,NA
Polícia é acionada após roubo a joalheria em shopping de Manaus,Roubo/Assalto,Roubo/assalto com confronto,alta,NA,Roubo/Assalto,NA
Operação Abismo: homem é preso por estupro e tráfico de drogas em Manacapuru,Estupro,Estupro consumado,extrema,NA,Estupro,NA
Polícia prende homem por tentativa de estupro e lesão corporal contra idosa no interior do AM,Estupro,Estupro consumado,extrema,NA,Estupro,NA
Polícia divulga imagem de homem procurado por agredir a ex-companheira,Agressão Doméstica,Violência doméstica com lesão corporal,alta,NA,Agressão Doméstica,NA
Bebê é encontrada morta e com lesões no corpo na zona leste de Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
'Piratas de Rio' trocam tiros com a PM no Solimões; um morre e outro é preso,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia Civil prende homem por roubo a pastelaria no bairro Flores,Roubo/Assalto,Roubo/assalto com confronto,alta,NA,Roubo/Assalto,NA
Crise de oxigênio: justiça manda governos acolherem vítimas quatro anos depois,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Três mulheres são presas após tentativa de homicídio em adega de Manaus,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Suspeito de matar ex-mulher e namorado dela se entrega à polícia,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Ex-padastro é preso suspeito de perseguição e estupro de vulnerável contra a ex-enteada,Estupro,Estupro consumado,extrema,NA,Estupro,NA
"Carro perde controle, sobe canteiro, derruba poste e trava trânsito na avenida Maceió",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem é preso por matar morador em situação de rua a pauladas na Cidade Nova,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
PF deflagra operação para combater crimes eleitorais no Amazonas,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia intercepta táxi e prende dupla de traficantes com droga avaliada em R$ 160 mil na BR-317,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia desmonta bando suspeito de série de assaltos em Manaus,Roubo/Assalto,Roubo/assalto com confronto,alta,NA,Roubo/Assalto,NA
Jovem de 22 anos é assassinado a facadas no Jorge Teixeira II,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Polícia prende vizinho e padrasto por estupro de vulnerável cometido contra criança de 10 anos,Estupro de Vulnerável,Estupro de criança/adolescente,extrema,NA,Estupro de Vulnerável,NA
"Em Atalaia do Norte, Polícia prende homem por estupro de vulnerável e agressão contra a enteada",Estupro,Estupro consumado,extrema,NA,Estupro,NA
Polícia apreende 33 tabletes de maconha do tipo skunk e pasta base de cocaína em Fonte Boa,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Dupla é presa com arma e moto roubada no bairro Zumbi dos Palmares,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Professor de jiu-jitsu é preso em Humaitá acusado de estupro e importunação sexual contra alunos,Estupro,Estupro consumado,extrema,NA,Estupro,NA
"Em Atalaia do Norte, homem é preso por estupro e agressão contra enteada de 15 anos",Estupro,Estupro consumado,extrema,NA,Estupro,NA
"""Foi o fim do sofrimento"": mãe desabafa após filho ser morto pelo próprio irmão em Manaus",Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Motorista é detido por adulterar placa de moto com fita adesiva em Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Em Manaus, traficante internacional é preso com cápsulas de droga e arma de uso restrito",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Taxista é assassinado a tiros na AM-010 durante a madrugada,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
